"X","file","feature","mc","vc","var","fid","context","type"
1,"largedata/COMET/JRA1/chr1.txt","high",0.0979897212157874,0.0619629205928592,"V1","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
2,"largedata/COMET/JRA1/chr1.txt","high",0.26014334491087,0.146050088567356,"V2","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
3,"largedata/COMET/JRA1/chr1.txt","high",0.407141312713891,0.17942508852221,"V3","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
4,"largedata/COMET/JRA1/chr1.txt","high",0.4818542733454,0.17966040194736,"V4","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
5,"largedata/COMET/JRA1/chr1.txt","high",0.511690989848524,0.17799642865882,"V5","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
6,"largedata/COMET/JRA1/chr1.txt","high",0.52924393206884,0.173731862965138,"V6","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
7,"largedata/COMET/JRA1/chr1.txt","high",0.511491628216751,0.168009281205865,"V7","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
8,"largedata/COMET/JRA1/chr1.txt","high",0.466503884989852,0.164862062528513,"V8","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
9,"largedata/COMET/JRA1/chr1.txt","high",0.361085623526257,0.1517224243038,"V9","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
10,"largedata/COMET/JRA1/chr1.txt","high",0.217833772725667,0.10342624618944,"V10","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
11,"largedata/COMET/JRA1/chr1.txt","up1k",0.54335353951466,0.16659218685185,"V1","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
12,"largedata/COMET/JRA1/chr1.txt","up1k",0.521261817576241,0.16798745434175,"V2","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
13,"largedata/COMET/JRA1/chr1.txt","up1k",0.48034841704767,0.167748037161473,"V3","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
14,"largedata/COMET/JRA1/chr1.txt","up1k",0.448456174864209,0.165669185590507,"V4","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
15,"largedata/COMET/JRA1/chr1.txt","up1k",0.40098361832307,0.160045212020564,"V5","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
16,"largedata/COMET/JRA1/chr1.txt","up1k",0.337404927008459,0.149634759113985,"V6","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
17,"largedata/COMET/JRA1/chr1.txt","up1k",0.273512287624678,0.129217394817815,"V7","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
18,"largedata/COMET/JRA1/chr1.txt","up1k",0.195222120937746,0.0945205507277546,"V8","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
19,"largedata/COMET/JRA1/chr1.txt","up1k",0.121980491617224,0.0609539445869888,"V9","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
20,"largedata/COMET/JRA1/chr1.txt","up1k",0.0804615468227787,0.0406637567488716,"V10","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
21,"largedata/COMET/JRA1/chr1.txt","down1k",0.148107104435848,0.0671236508800169,"V1","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
22,"largedata/COMET/JRA1/chr1.txt","down1k",0.191661900094987,0.0872859052395835,"V2","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
23,"largedata/COMET/JRA1/chr1.txt","down1k",0.232482204898969,0.104727624510665,"V3","largedata/lcache/CG_chr1_exp_RNA_high_A1.csv","CG","RNA"
